Original;T1;T2;T12;BT1;BT2
I like competition;Eu gosto de competição;Eu gosto de competição;Eu gosto de competição;I like competition;I like competition
I am a competitive individual;Eu sou um indivíduo competitivo;Eu sou um indivíduo competitivo;Eu sou um indivíduo competitivo;I am a competitive individual;I am a competitive individual
I enjoy competing against an opponent;Eu gosto de competir com um rival;Eu gosto de competir contra um oponente;Eu gosto de competir contra um oponente;I like to compete against an opponent;I like to compete against an opponent
I don’t like competing against other people;Eu não gosto de competir contra outras pessoas;Eu não gosto de competir contra outras pessoas;Eu não gosto de competir contra outras pessoas;I do not like to compete against other people;I do not like to compete against other people
I get satisfaction from competing with others;Eu fico satisfeito em competir com outros;Sinto satisfação competindo com outros;Eu fico satisfeito em competir com outros;I am happy to compete with others;I enjoy competing with others
I find competitive situations unpleasant;Eu acho situações de competição desagradáveis;Eu acho situações competitivas desagradáveis;Eu acho situações competitivas desagradáveis;I find competitive situations unpleasant;I do not find competitive situations enjoyable
I dread competing against other people;Tenho medo de competir contra outras pessoas;Eu receio de competir contra outras pessoas;Eu receio de competir contra outras pessoas;I am hesitant to compete against other people;I fear competing against other people
I try to avoid competing with others;Eu evito competir com outros;Eu tento evitar competir com outros;Eu evito competir com outros;I avoid competing with others;I avoid competing with others
I often try to outperform others;Várias vezes eu tento superar os outros;Eu, frequentemente, supero os outros;Eu, frequentemente, tento superar os outros;I often try to outperform others;I often try to out-perform others
I try to avoid arguments;Eu tento evitar discussões;Eu tento evitar discussões;Eu tento evitar discussões;I try to avoid arguments;I try to avoid arguments
I will do almost anything to avoid an argument;Eu vou fazer quase tudo para evitar uma discussão;Eu faria qualquer coisa para evitar uma discussão;Eu faria qualquer coisa para evitar uma discussão;I would do anything to avoid an argument;I would do anything to avoid an argument
I often remain quiet rather than risk hurting another person;Várias vezes eu fico quieto invés de arriscar machucar outra pessoa;Eu, frequentemente, fico quieto em vez de correr o risco de machucar outra pessoa;Eu, frequentemente, fico quieto em vez de arriscar machucar outra pessoa;I often stay quiet instead of running the risk of upsetting someone;I often remain quiet rather than risk hurting another person
I don’t enjoy challenging others even when I think they are wrong;Eu não gosto de desafiar os outros mesmo quando eu acho que eles estão errados;Eu não gosto de desafiar os outros mesmo quando eu acho que eles estão errados;Eu não gosto de desafiar os outros mesmo quando eu acho que eles estão errados;I do not like to challenge others even when I think they are wrong;I don’t like to challenge others, even if I think they are wrong
In general, I will go along with the group rather than create conflict;Em geral, eu concordo com o grupo invés de criar conflito;Em geral, irei junto com o grupo em vez de criar conflito;Em geral, eu concordo com o grupo ao invés de criar conflito;In general, I go along with the group instead of creating conflict;In general, I tend to agree with the group rather than create conflict
